City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kerikeri,-35.2268,173.9474,52.92,84,6,8.99,NZ,1715199581
1,aden,12.7794,45.0367,86.97,73,92,7.92,YE,1715199581
2,miragoane,18.4423,-73.0876,84.36,68,41,5.91,HT,1715199581
3,port-aux-francais,-49.35,70.2167,40.44,74,90,18.97,TF,1715199581
4,lichinga,-13.3128,35.2406,64.49,72,0,9.22,MZ,1715199582
5,blackmans bay,-43.0167,147.3167,50.74,96,50,3.89,AU,1715199582
6,port mathurin,-19.6833,63.4167,77.79,67,95,26.17,MU,1715199582
7,port lincoln,-34.7333,135.8667,59.11,81,87,10.83,AU,1715199582
8,georgetown,5.4112,100.3354,84.13,84,20,3.44,MY,1715199311
9,grytviken,-54.2811,-36.5092,26.2,69,6,7.78,GS,1715199582
10,ust-nera,64.5667,143.2,34.92,79,100,1.57,RU,1715199582
11,ebaye,8.7748,167.7392,82.42,83,75,20.71,MH,1715199582
12,cockburn town,21.4612,-71.1419,77.83,72,0,14.83,TC,1715199480
13,solleftea,63.1667,17.2667,39.06,87,100,3.58,SE,1715199582
14,puerto natales,-51.7236,-72.4875,32.45,100,100,5.75,CL,1715199582
15,zaozersk,69.4005,32.4476,17.94,88,99,5.01,RU,1715199582
16,qaqortoq,60.7167,-46.0333,36.28,63,100,3.42,GL,1715199582
17,peabiru,-23.9128,-52.3431,88.56,32,1,6.26,BR,1715199293
18,kenora,49.8167,-94.4337,65.37,39,20,15.01,CA,1715199583
19,nuku'alofa,-21.1333,-175.2,77.34,73,75,5.75,TO,1715199583
20,st. john's,47.5649,-52.7093,44.78,92,100,13.8,CA,1715199460
21,sandnessjoen,66.0217,12.6316,42.91,70,75,10.36,NO,1715199583
22,adamstown,-25.066,-130.1015,71.55,79,100,6.87,PN,1715199583
23,petropavlovsk-kamchatsky,53.0452,158.6483,34.39,78,75,8.01,RU,1715199583
24,invercargill,-46.4,168.35,32.02,96,7,3.0,NZ,1715199583
25,kingston,17.997,-76.7936,84.16,75,91,4.81,JM,1715199287
26,longyearbyen,78.2186,15.6401,33.64,60,20,9.22,SJ,1715199583
27,ulaangom,49.9811,92.0667,52.48,50,0,8.77,MN,1715199583
28,errachidia,31.9275,-4.4285,86.05,8,0,5.75,MA,1715199583
29,hami,42.8,93.45,70.34,28,0,15.1,CN,1715199583
30,fauske,67.2588,15.3918,41.04,81,100,4.79,NO,1715199583
31,saldanha,-33.0117,17.9442,57.92,78,0,9.91,ZA,1715199583
32,ushuaia,-54.8,-68.3,40.62,75,40,3.44,AR,1715199583
33,waitangi,-43.9535,-176.5597,49.82,86,100,1.01,NZ,1715199583
34,qalat,32.1058,66.9083,71.89,33,0,2.59,AF,1715199584
35,luderitz,-26.6481,15.1594,61.97,73,0,13.31,NA,1715199584
36,coquimbo,-29.9533,-71.3436,62.33,67,0,13.8,CL,1715199391
37,bethel,41.3712,-73.414,85.64,64,75,4.61,US,1715199347
38,zusmarshausen,48.4,10.6,51.62,94,100,3.13,DE,1715199584
39,somerset east,-32.7217,25.588,59.16,94,100,5.12,ZA,1715199584
40,urangan,-25.3,152.9,65.19,97,26,5.99,AU,1715199584
41,holualoa,19.6228,-155.9522,76.84,74,20,11.5,US,1715199584
42,tolanaro,-25.0319,46.9987,72.21,88,51,12.15,MG,1715199584
43,shagonar,51.5333,92.8,47.75,72,9,1.7,RU,1715199584
44,klyuchi,52.2667,79.1667,54.7,53,10,6.55,RU,1715199584
45,fale old settlement,-9.3852,-171.2468,85.17,76,84,11.03,TK,1715199584
46,laojunmiao,39.8333,97.7333,55.96,31,80,3.6,CN,1715199584
47,ihsaniye,40.6909,29.8347,61.18,93,18,6.2,TR,1715199584
48,jamestown,42.097,-79.2353,71.24,37,0,28.77,US,1715199391
49,margaret river,-33.95,115.0667,63.3,47,100,12.57,AU,1715199585
50,olonkinbyen,70.9221,-8.7187,29.39,98,100,22.19,SJ,1715199585
51,iskateley,67.6803,53.1512,23.02,88,100,15.99,RU,1715199585
52,olbia,40.9214,9.4856,64.45,72,20,4.61,IT,1715199585
53,tazacorte,28.629,-17.9293,70.14,88,75,5.75,ES,1715199585
54,new norfolk,-42.7826,147.0587,51.93,99,81,2.01,AU,1715199585
55,punta arenas,-53.15,-70.9167,39.31,81,75,5.75,CL,1715199462
56,luanda,-8.8368,13.2343,80.6,90,75,5.75,AO,1715199585
57,panacan,9.2463,118.4082,80.49,84,99,6.51,PH,1715199585
